name,vdom,status,type,snmp-index,alias,description,mtu-override,mtu,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,trust-ip-3,mode,role,interface,vlanid
port1,root,down,physical,1,,,,,,,,,,,,,,
port2,root,down,physical,2,,,,,,,,,,,,,,
port3,root,down,physical,3,,,,,,,,,,,,,,
port4,root,down,physical,4,,,,,,,,,,,,,,
port5,root,down,physical,5,,,,,,,,,,,,,,
port6,root,down,physical,6,,,,,,,,,,,,,,
port7,root,down,physical,7,,,,,,,,,,,,,,
port8,root,down,physical,8,,,,,,,,,,,,,,
port9,root,down,physical,9,,,,,,,,,,,,,,
port10,root,down,physical,10,,,,,,,,,,,,,,
port11,root,down,physical,11,,,,,,,,,,,,,,
port12,root,down,physical,12,,,,,,,,,,,,,,
port13,root,down,physical,13,,,,,,,,,,,,,,
port14,root,down,physical,14,,,,,,,,,,,,,,
port15,root,down,physical,15,,,,,,,,,,,,,,
port16,root,down,physical,16,,,,,,,,,,,,,,
port17,root,,physical,17,HA1,,,,,,,,,,,,,
port18,root,down,physical,18,,,,,,,,,,,,,,
port19,root,,physical,19,SESSION_SYNC1,,,,,,,,,,,,,
port20,root,down,physical,20,,,,,,,,,,,,,,
port21,root,down,physical,21,,,,,,,,,,,,,,
port22,root,down,physical,22,,,,,,,,,,,,,,
port23,root,down,physical,23,,,,,,,,,,,,,,
port24,root,down,physical,24,,,,,,,,,,,,,,
port25,root,down,physical,25,,,,,,,,,,,,,,
port26,root,,physical,26,HA2,,,,,,,,,,,,,
port27,root,down,physical,27,,,,,,,,,,,,,,
port28,root,,physical,28,SESSION_SYNC2,,,,,,,,,,,,,
port29,root,down,physical,29,,,,,,,,,,,,,,
port30,root,down,physical,30,,,,,,,,,,,,,,
port31,root,down,physical,31,,,,,,,,,,,,,,
port32,root,down,physical,32,,,,,,,,,,,,,,
port33,root,,physical,33,INTERNAL,"CONNECT TO CPSP01,02 xe-0/0/22:2 for INTERNAL",enable,9000,,,,,,,,,,
port34,root,down,physical,34,,,,,,,,,,,,,,
port35,root,down,physical,35,,,,,,,,,,,,,,
port36,root,down,physical,36,,,,,,,,,,,,,,
port37,root,down,physical,37,,,,,,,,,,,,,,
port38,root,down,physical,38,,,,,,,,,,,,,,
port39,root,,physical,39,EXTERNAL,"CONNECT TO CPSP01,02 xe-0/0/22:3 for EXTERNAL",enable,9000,,,,,,,,,,
port40,root,down,physical,40,,,,,,,,,,,,,,
mgmt1,root,,physical,41,OOBMGT,,,,10.8.149.85 255.255.255.0,ping https ssh snmp fgfm,management,10.8.148.0 255.255.254.0,10.91.1.64 255.255.255.248,10.8.150.0 255.255.255.0,,,,
